asset,time,CapMrktEstUSD
eth,2023-06-13T00:00:00.000000000Z,208825046808.96305428101114225
eth,2023-06-14T00:00:00.000000000Z,198393069441.916201256701
eth,2023-06-15T00:00:00.000000000Z,200034089144.76064587968326014
eth,2023-06-16T00:00:00.000000000Z,206367671480.59632539890026036
eth,2023-06-17T00:00:00.000000000Z,207680438091.31177823258285304
eth,2023-06-18T00:00:00.000000000Z,206780331722.93489486822155641
eth,2023-06-19T00:00:00.000000000Z,208563869293.98416411311675092
eth,2023-06-20T00:00:00.000000000Z,215149680038.7827762355506832
eth,2023-06-21T00:00:00.000000000Z,227708053477.5396093626550912
eth,2023-06-22T00:00:00.000000000Z,225299240007.41599791843124233
eth,2023-06-23T00:00:00.000000000Z,227364207214.49963450366858628
eth,2023-06-24T00:00:00.000000000Z,225501426950.60892969404953102
eth,2023-06-25T00:00:00.000000000Z,228343872529.6810577993312304
eth,2023-06-26T00:00:00.000000000Z,223264171389.7830643243722348
eth,2023-06-27T00:00:00.000000000Z,227028739500.00219770333620955
eth,2023-06-28T00:00:00.000000000Z,219901509250.89036686363336808
eth,2023-06-29T00:00:00.000000000Z,222791857816.12337424996828522
eth,2023-06-30T00:00:00.000000000Z,232582630060.47057977501049658
eth,2023-07-01T00:00:00.000000000Z,231199603154.9496157381074048
eth,2023-07-02T00:00:00.000000000Z,232695770564.88459782776003075
eth,2023-07-03T00:00:00.000000000Z,234931951481.85588404395497722
eth,2023-07-04T00:00:00.000000000Z,233030635317.89880491016770859
eth,2023-07-05T00:00:00.000000000Z,229876420441.6083404550803595
eth,2023-07-06T00:00:00.000000000Z,222928485487.98760581953634924
eth,2023-07-07T00:00:00.000000000Z,224719539795.792047370383737
eth,2023-07-08T00:00:00.000000000Z,224079060591.28147337941780156
eth,2023-07-09T00:00:00.000000000Z,223905510266.89335778754500876
eth,2023-07-10T00:00:00.000000000Z,226033060031.85598017019546255
eth,2023-07-11T00:00:00.000000000Z,225795456512.43032687227863245
eth,2023-07-12T00:00:00.000000000Z,224980493614.92598142192439086
eth,2023-07-13T00:00:00.000000000Z,240658434910.50340270044928056
eth,2023-07-14T00:00:00.000000000Z,232616209465.44560223986207961
eth,2023-07-15T00:00:00.000000000Z,232081375473.83002910694660945
eth,2023-07-16T00:00:00.000000000Z,231333578971.6935698228656337
eth,2023-07-17T00:00:00.000000000Z,229857184771.765625092548166
eth,2023-07-18T00:00:00.000000000Z,228069290991.4681757299410016
eth,2023-07-19T00:00:00.000000000Z,227121371237.95907317477032995
eth,2023-07-20T00:00:00.000000000Z,227414125729.37381543455294409
eth,2023-07-21T00:00:00.000000000Z,227424156410.28100996725984244
eth,2023-07-22T00:00:00.000000000Z,223864068558.8894858869105812
eth,2023-07-23T00:00:00.000000000Z,226922484793.94049482875557702
eth,2023-07-24T00:00:00.000000000Z,222349810359.36831366545112933
eth,2023-07-25T00:00:00.000000000Z,223266809447.0283833680663948
eth,2023-07-26T00:00:00.000000000Z,225071205042.60136282626564669
eth,2023-07-27T00:00:00.000000000Z,223445687898.24184439106
eth,2023-07-28T00:00:00.000000000Z,225365609704.56241656903
eth,2023-07-29T00:00:00.000000000Z,226085270830.54147998483
eth,2023-07-30T00:00:00.000000000Z,223741970741.51919379329
eth,2023-07-31T00:00:00.000000000Z,223078341415.041114486247332
eth,2023-08-01T00:00:00.000000000Z,224372031272.64408429594546828
eth,2023-08-02T00:00:00.000000000Z,220952063489.3882592897
eth,2023-08-03T00:00:00.000000000Z,220666142198.95553024262
eth,2023-08-04T00:00:00.000000000Z,219465064489.2024483611539036
eth,2023-08-05T00:00:00.000000000Z,220554236422.46315765562219428
eth,2023-08-06T00:00:00.000000000Z,219536049905.96181372888002341
eth,2023-08-07T00:00:00.000000000Z,219401681690.74420098982387764
eth,2023-08-08T00:00:00.000000000Z,223104292272.06316597771099262
eth,2023-08-09T00:00:00.000000000Z,222934470328.9773885799245291
eth,2023-08-10T00:00:00.000000000Z,222396101484.26726217244320347
eth,2023-08-11T00:00:00.000000000Z,221871792229.53243007007379656
eth,2023-08-12T00:00:00.000000000Z,222109483864.49079425266921343
eth,2023-08-13T00:00:00.000000000Z,220945647588.33587993272870962
eth,2023-08-14T00:00:00.000000000Z,221529819915.20766025837317208
eth,2023-08-15T00:00:00.000000000Z,219518458611.84696572637035112
eth,2023-08-16T00:00:00.000000000Z,217089997741.67472296026487425
eth,2023-08-17T00:00:00.000000000Z,202902804373.22725947078015318
eth,2023-08-18T00:00:00.000000000Z,199504133400.22015636495842732
eth,2023-08-19T00:00:00.000000000Z,200353373643.5500256730132852
