date,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_trades,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_trades,sol_open,sol_high,sol_low,sol_close,sol_volume,sol_trades,btc_funding_rate,eth_funding_rate,sol_funding_rate,btc_sum_open_interest,btc_sum_open_interest_value,btc_count_long_short_ratio,btc_sum_taker_long_short_vol_ratio,eth_sum_open_interest,eth_sum_open_interest_value,eth_count_long_short_ratio,eth_sum_taker_long_short_vol_ratio,sol_sum_open_interest,sol_sum_open_interest_value,sol_count_long_short_ratio,sol_sum_taker_long_short_vol_ratio
2021-02-18,52117.67,52530.0,50901.9,51552.6,60758.046954,1891592.0,1849.7,1950.5,1849.69,1939.61,937227.10191,1053661.0,8.2412,9.32,8.23,8.9771,2479859.19,63813.0,0.0013746466666666665,0.00172004,0.0011422733333333334,36940.31350522648,1920278181.473902,2.0445128962369337,0.9989681343902438,,,,,,,,
2021-02-19,51552.61,56368.0,50710.2,55906.0,79659.77802,2339215.0,1938.91,1972.82,1891.0,1955.0,793404.4115,988320.0,8.988,11.85,8.5257,11.4912,7106323.06,170333.0,0.00101524,0.0013028233333333332,0.0008892966666666667,35308.06993119266,1861578789.826091,2.0611935346330275,1.058313797385321,,,,,,,,
2021-02-20,55906.0,57700.46,53863.93,55841.19,80948.205314,2642846.0,1955.46,2042.34,1803.14,1913.0,1261315.81279,1329067.0,11.4845,11.8327,9.754,9.9869,4731324.37,110824.0,0.0013177266666666665,0.0019066166666666668,0.00183245,34439.386334558825,1940494017.3104305,2.187907528272059,0.991025128125,,,,,,,,
2021-02-21,55841.19,58352.8,55477.59,57408.57,58166.708511,1950533.0,1912.9,1976.31,1883.01,1933.53,756568.19743,895138.0,9.9849,11.6707,9.8101,11.0753,3694265.15,92042.0,0.0010839966666666666,0.00067433,0.0009576533333333333,33558.525725694446,1916155911.669013,2.213079933784722,1.0612657103125,,,,,,,,
2021-02-22,57412.35,57508.47,47622.0,54087.67,134019.434944,3313083.0,1933.54,1936.29,1551.0,1777.58,1807244.98099,1799926.0,11.0738,14.8,9.1,14.4191,14711670.8,307004.0,0.00095565,0.0005318266666666666,0.00053781,31987.775593749997,1752367691.1833885,2.385203856736111,0.9941264372280703,,,,,,,,
2021-02-23,54087.67,54183.59,44892.56,48891.0,169375.025051,3825196.0,1777.42,1782.39,1355.0,1577.89,2547837.82068,2396626.0,14.4176,15.8888,11.47,15.2244,24306320.76,548657.0,0.00022616,0.00015389333333333332,-0.00031486000000000003,28211.009659722222,1385006786.7005644,2.1324917021180556,1.0105353405555555,,,,,,,,
2021-02-24,48891.0,51374.99,46988.69,49676.2,91881.209252,2194532.0,1577.79,1712.7,1500.2,1623.39,1384388.81727,1319936.0,15.2389,18.2052,14.7917,17.1691,10777544.75,248041.0,0.00033026666666666665,0.0002717466666666667,0.00017289333333333332,26982.828160278747,1343807361.061062,2.092575793379791,1.0343000497560975,,,,,,,,
2021-02-25,49676.21,52041.73,46674.34,47073.73,83310.673121,2305679.0,1623.16,1671.59,1459.16,1481.75,1032670.79409,1110019.0,17.1745,17.69,13.6579,13.8442,9520373.92,210627.0,0.00023335333333333332,0.00024316,0.00019475000000000002,28441.374159722225,1421761894.3480532,2.257526678819444,1.027761543611111,,,,,,,,
2021-02-26,47073.73,48424.11,44106.78,46276.87,109423.200663,2371766.0,1482.08,1562.25,1400.0,1444.59,1355973.29378,1298739.0,13.8565,15.5083,13.1,13.5962,8029513.17,188509.0,0.0001,0.00020862666666666667,0.0001,27853.00625,1299926709.9130263,2.2862934346875,1.0172867435416668,,,,,,,,
2021-02-27,46276.88,48394.0,45000.0,46106.43,66060.834292,1757720.0,1444.56,1529.0,1425.0,1458.13,927423.0475,954919.0,13.5864,14.8359,13.01,13.1916,6232463.19,166289.0,0.0002825733333333333,0.00030047,0.00011267333333333334,27909.93017013889,1316235380.6081526,2.0983881906944446,1.0452225384375,,,,,,,,
2021-02-28,46103.67,46638.46,43000.0,45135.66,83055.369042,1838345.0,1458.27,1468.75,1293.18,1419.18,1410207.56284,1190546.0,13.1853,13.7739,11.417,13.0887,7231344.75,181689.0,0.00019235333333333333,0.0001,0.0001,29345.576923344946,1313746443.6059458,1.8942736762020906,1.0360635222648082,,,,,,,,
2021-03-01,45134.11,49790.0,44950.53,49587.03,85086.111648,2147223.0,1418.67,1572.0,1409.91,1569.86,1094695.17839,989006.0,13.08,15.5469,13.0102,14.9855,5511248.26,155523.0,0.00012307,0.00030848666666666666,0.00020236333333333335,28894.905322916668,1374790857.981477,1.9770724929861112,1.0320192287152778,,,,,,,,
2021-03-02,49595.76,50200.0,47047.6,48440.65,64221.06214,1855583.0,1570.0,1602.9,1455.52,1486.78,1061142.38743,966176.0,14.9989,15.25,13.3544,13.9438,4128426.11,111524.0,0.0001,0.0004146833333333333,0.00032216,28997.87103125,1409544716.0460744,2.0314093991319444,1.033065289097473,,,,,,,,
2021-03-03,48436.61,52640.0,48100.71,50349.37,81035.913705,2242131.0,1486.79,1656.94,1475.47,1567.69,1054846.31471,1237215.0,13.9546,14.738,13.7018,14.0742,3277327.93,96740.0,0.00021692666666666666,0.00035697,0.0006492466666666667,29803.66431944444,1503617912.237169,2.011011021076389,1.0739012391666667,,,,,,,,
2021-03-04,50349.37,51773.88,47500.0,48374.09,82649.716829,2291936.0,1567.68,1624.87,1506.36,1539.23,946365.67088,1125118.0,14.0936,14.2737,12.736,13.0508,2764372.37,75817.0,0.0001,0.0003218,0.00041451666666666667,29656.04556597222,1464962817.0174215,2.507820139826389,1.0106880171180554,,,,,,,,
2021-03-05,48374.09,49448.93,46300.0,48751.71,78192.496372,2054216.0,1539.22,1548.96,1441.66,1528.31,910786.28976,1000913.0,13.0649,13.0992,12.1251,12.5382,2069391.25,58681.0,0.0001,0.00019148666666666668,0.00015892,29967.045101045296,1429770030.8703604,2.3391436478745646,1.0472644264808364,,,,,,,,
2021-03-06,48746.81,49200.0,47070.0,48882.2,44399.234242,1476474.0,1528.08,1671.58,1513.03,1650.35,1013300.93928,1188531.0,12.5507,13.31,11.9,13.0421,3061674.23,89887.0,0.0001,0.00040626333333333334,0.00044495666666666663,29502.112972222225,1426766723.3855836,2.260378856111111,1.0492453605208334,,,,,,,,
2021-03-07,48882.2,51450.03,48882.2,50971.75,55235.028032,1758101.0,1650.68,1734.16,1630.35,1726.16,848470.78136,1166072.0,13.0443,14.014,12.7049,13.8174,2999418.25,85302.0,0.00012535333333333332,0.0004889533333333334,0.00068594,29874.638312500003,1500675650.6471853,1.9273758997569443,1.0633249117361112,,,,,,,,
2021-03-08,50959.11,52402.78,49274.67,52375.17,66987.359664,1999401.0,1726.46,1843.59,1664.96,1833.18,1149711.39987,1407402.0,13.8174,13.906,12.996,13.6028,2116684.52,63521.0,0.00014919,0.0003743433333333334,0.0007525733333333335,30610.24065625,1555301871.781933,2.134504765486111,1.075555265173611,,,,,,,,
2021-03-09,52375.18,54895.0,51789.41,54884.5,71656.737076,2194398.0,1833.22,1870.77,1798.2,1870.51,857229.47855,1196670.0,13.608,14.9921,13.1985,14.839,2594490.9,73810.0,0.0005714433333333333,0.0006724366666666666,0.0013795033333333332,32655.275815972225,1763269579.3572268,1.956417318923611,1.0095044228819445,,,,,,,,
