,timestamp,btc_prices,btc_market_cap,btc_volumes,eth_prices,eth_market_cap,eth_volumes,sol_prices,sol_market_cap,sol_volumes,btc_open,btc_high,btc_low,btc_close,eth_open,eth_high,eth_low,eth_close,sol_open,sol_high,sol_low,sol_close
30,1760832000000,107156.003,2135575517405.9185,34412835719.61292,3889.499,469204461222.8663,19845543405.385517,187.559,102547391633.91815,4080705643.636593,113066.0,113527.0,103856.0,107156.0,4126.24,4203.8,3687.73,3889.5,202.58,207.6,175.12,187.56
31,1761177600000,107618.427,2145773248654.6448,83996418125.93103,3801.791,458856134706.02246,41712359613.706055,180.026,98365559775.72266,7331527656.706337,107210.0,113804.0,106222.0,107618.0,3890.02,4106.4,3726.29,3801.79,187.65,197.26,177.75,180.03
32,1761523200000,114476.012,2283691326423.212,42483268634.18711,4161.591,502918445052.51886,25813518444.008472,200.071,110015344814.02438,4807959121.519227,107591.0,114816.0,107581.0,114476.0,3805.88,4172.98,3805.8,4161.59,180.09,200.59,179.97,200.07
33,1761868800000,108240.765,2157803742876.0747,72648897659.94229,3802.295,458793317252.3975,36685058456.47925,184.286,101142410783.16473,8507378052.630039,114419.0,116041.0,106464.0,108241.0,4158.57,4246.23,3687.02,3802.3,200.02,205.03,179.42,184.29
34,1762214400000,106521.087,2123664079961.7026,75068433317.86293,3600.716,434149656995.1001,47914058739.68866,165.927,91638592574.92229,9778486257.676378,108409.0,111130.0,105540.0,106521.0,3801.55,3911.96,3572.5,3600.72,184.5,189.61,164.02,165.93
35,1762560000000,103396.084,2063021740892.1375,93627003785.31018,3434.351,414691375367.5941,38972602140.84989,161.878,89680212829.84552,6640253853.035683,106452.0,107189.0,99076.0,103396.0,3600.36,3649.01,3097.71,3434.35,165.89,168.17,147.97,161.88
36,1762905600000,102960.776,2053215927640.825,71008299178.73956,3416.781,411969837331.5966,36501187500.23736,154.346,85546876438.37358,6119928731.138143,103192.0,107357.0,101490.0,102961.0,3426.4,3647.92,3360.28,3416.78,161.69,171.62,154.35,154.35
37,1763251200000,95508.31,1905234340631.9912,39062120798.23745,3170.113,382460593691.1359,19159039393.797318,139.591,77375030096.27234,3515375946.078547,103112.0,105257.0,94138.0,95508.0,3416.07,3583.32,3078.56,3170.11,154.66,160.79,136.26,139.59
38,1763596800000,91363.278,1820062799702.324,82897875507.45229,3017.748,363582387251.9456,39173261740.03148,136.435,75584893191.21877,6188944241.966924,95380.0,96528.0,88540.0,91363.0,3169.7,3241.23,2872.51,3017.75,139.27,143.06,129.33,136.43
39,1763942400000,86783.848,1732233225777.4016,60446592409.29218,2799.815,338053142179.2997,20170660685.078762,130.849,73167233648.17833,3991552010.3336043,91408.0,92944.0,81051.0,86784.0,3020.94,3051.09,2632.87,2799.81,136.72,144.3,122.66,130.85
40,1764288000000,91279.061,1821778517479.9226,59295194347.668594,3015.612,364039549664.8285,16563145331.437607,140.83,78777617550.5348,3819216595.133187,86740.0,91850.0,85546.0,91279.0,2798.91,3066.28,2770.21,3015.61,130.58,144.38,128.65,140.83
41,1764633600000,86281.495,1723547230444.7913,92988982967.24597,2799.037,338070271128.47876,37491168510.09445,126.747,70966196633.84346,6851062003.639887,91324.0,92849.0,83989.0,86281.0,3014.82,3090.81,2724.95,2799.04,140.85,143.08,123.52,126.75
42,1764979200000,89307.092,1782798987370.1692,50193142876.74388,3022.656,365052689720.72375,27606937714.571938,133.199,74566520034.03679,4920570364.5913,86304.0,94001.0,86259.0,89307.0,2796.73,3231.79,2785.45,3022.66,126.67,146.14,126.16,133.2
43,1765324800000,92723.214,1852116289106.247,54575121853.64529,3322.469,401258190140.9822,34333058805.569298,138.013,77575668532.51553,6612919737.71527,89264.0,94490.0,87887.0,92723.0,3019.83,3388.4,2941.77,3322.47,133.23,144.43,128.26,138.01
44,1765670400000,90257.429,1801496999571.6902,35222775785.402145,3115.225,375945831930.448,10086309656.917572,133.221,74841360307.62788,2259785741.0493307,92686.0,94177.0,89426.0,90257.0,3318.72,3432.93,3054.43,3115.23,137.89,141.67,129.42,133.22
45,1766016000000,86064.947,1718491930388.8372,48886793507.656334,2827.804,341276921875.79224,26836168118.615532,123.081,69190855101.13805,5991785692.616783,90253.0,90469.0,85374.0,86065.0,3115.27,3171.02,2796.23,2827.8,133.17,134.26,121.76,123.08
46,1766361600000,88577.42,1768920028841.514,22541294542.323105,3001.601,362519624877.1173,11543764853.447407,126.019,70866740448.0251,2593618351.5364947,86197.0,89220.0,84581.0,88577.0,2832.47,3005.37,2781.74,3001.6,123.17,128.57,117.62,126.02
47,1766707200000,87229.781,1741491085115.601,22773603342.32636,2904.252,350482502400.1858,11886240841.229004,120.09,67601569093.48973,2449069367.6865826,88672.0,90353.0,86576.0,87230.0,3004.22,3065.1,2893.8,2904.25,126.02,128.1,120.09,120.09
48,1767052800000,87156.563,1739794323451.9631,53957962807.988785,2934.216,354107974761.1568,28073445244.481457,123.099,69294749014.9203,5206138693.770085,87192.0,90230.0,86674.0,87157.0,2901.68,3049.93,2896.35,2934.22,120.02,129.06,119.72,123.1
49,1767398400000,89926.279,1795890115524.7178,50705395175.73333,3121.901,376770956000.15674,25946903012.673847,132.048,74386824319.36295,4974468671.385098,87155.0,90789.0,86855.0,89926.0,2934.36,3144.27,2920.49,3121.9,123.12,132.89,122.59,132.05
