,date,btc_market_cap,eth_market_cap,sol_market_cap
306,2020-04-23,137342000000.0,20538041917.77198,4978498.558267552
307,2020-04-24,137683000000.0,20759125508.81152,5004329.822721864
308,2020-04-25,138270000000.0,21443708770.93961,5193335.980870568
309,2020-04-26,140968000000.0,21809034229.86663,5098060.873943408
310,2020-04-27,142695000000.0,21756737684.677063,4580825.119326544
311,2020-04-28,142569000000.0,21859122510.61627,5276816.276521088
312,2020-04-29,160787000000.0,23845483196.444824,5925553.234311432
313,2020-04-30,158795000000.0,22907371395.435123,5609154.41307072
314,2020-05-01,162538000000.0,23555666502.519516,5765264.157688208
315,2020-05-02,164788000000.0,23715902068.617542,5693429.792564704
316,2020-05-03,163327000000.0,23270958475.09984,5471060.257334048
317,2020-05-04,163073000000.0,22927215245.064075,5344670.476877264
318,2020-05-05,164999000000.0,22699992399.743904,5179119.716206848
319,2020-05-06,170176000000.0,22464649297.780945,4999265.386048912
320,2020-05-07,183545000000.0,23603815690.46928,4848004.407672976
321,2020-05-08,181094000000.0,23542669489.959846,4873502.726268432
322,2020-05-09,175931000000.0,23363989710.70776,4862699.033311736
323,2020-05-10,160105000000.0,20791272244.728687,4300365.016894032
324,2020-05-11,157857000000.0,20591261825.070965,4131295.797333928
325,2020-05-12,162018000000.0,21048773157.38801,4291770.2915178
326,2020-05-13,171320000000.0,22173654763.00358,4423010.818349488
327,2020-05-14,180116000000.0,22575103268.25058,4583389.819401712
328,2020-05-15,171405000000.0,21644859091.988144,4459485.723208088
329,2020-05-16,172673000000.0,22279643089.313786,4778039.082088272
330,2020-05-17,177956000000.0,22976158264.50388,4926470.851363544
331,2020-05-18,178777000000.0,23830757524.145336,5214709.807336496
332,2020-05-19,179287000000.0,23730700380.862934,5018408.063210736
333,2020-05-20,174910000000.0,23287865900.473843,4655488.143231672
334,2020-05-21,166702000000.0,22082138726.668465,4845477.796992304
335,2020-05-22,168420000000.0,22989273349.49799,5086561.528854536
336,2020-05-23,168831000000.0,22976044258.13307,4859556.143624592
337,2020-05-24,161896000000.0,22474387553.356544,4418578.904915104
338,2020-05-25,163795000000.0,22689925624.28351,4817501.435616392
339,2020-05-26,162440000000.0,22311475364.552628,4597116.998537456
340,2020-05-27,168587000000.0,23051598054.833065,4720446.968687976
341,2020-05-28,175935000000.0,24374441209.91737,4605162.443582504
342,2020-05-29,173445000000.0,24533647804.275528,9469174.196604175
343,2020-05-30,178220000000.0,27069137962.451633,9579245.702479923
344,2020-05-31,173490000000.0,25724431777.72408,9361901.182454873
345,2020-06-01,187571000000.0,27687448289.737885,9445248.937696105
346,2020-06-02,174948000000.0,26368414415.3678,9276198.282973215
347,2020-06-03,177346000000.0,27122665148.657776,9596191.180879751
348,2020-06-04,180501000000.0,27094110010.11104,9587138.559756387
349,2020-06-05,177360000000.0,26727650423.334824,10786320.666323189
350,2020-06-06,177860000000.0,26919700848.018658,10159990.14679507
351,2020-06-07,179323000000.0,27186063925.314457,10026851.024105376
352,2020-06-08,179733000000.0,27365546538.830917,10915650.739694651
353,2020-06-09,179929000000.0,27186162009.235607,10746216.480205713
354,2020-06-10,181944000000.0,27565509589.522953,10584732.567569574
355,2020-06-11,170712000000.0,25699009813.52846,9340599.142357955
356,2020-06-12,174011000000.0,26398726362.155186,9709771.60995983
357,2020-06-13,174116000000.0,26505280836.43997,9970712.191613682
358,2020-06-14,171947000000.0,25845714345.74088,9561232.523881732
359,2020-06-15,173768000000.0,25744308659.47365,9343617.520786528
360,2020-06-16,175225000000.0,26186071399.158695,9536020.39978508
361,2020-06-17,173920000000.0,26027920560.961193,9535924.77072233
362,2020-06-18,172847000000.0,25768536507.19638,10140154.380119355
363,2020-06-19,170940000000.0,25487279250.576496,11228499.292281138
364,2020-06-20,172261000000.0,25506189587.945522,10659173.694237258
365,2020-06-21,170934000000.0,25359909906.779415,11084643.66126718
366,2020-06-22,178304000000.0,27106243519.32844,12025128.710132524
367,2020-06-23,176970000000.0,27076159108.44639,11658191.249586614
368,2020-06-24,171110000000.0,26176839521.0658,12162188.230774255
369,2020-06-25,170274000000.0,25912183719.27529,11759432.713624194
370,2020-06-26,168668000000.0,25611280453.337646,12175054.39027912
371,2020-06-27,165781000000.0,24611334416.419567,11753746.174881447
372,2020-06-28,167739000000.0,25031892287.059547,13124521.193731073
373,2020-06-29,169151000000.0,25433948895.178642,14088286.929999849
374,2020-06-30,168417000000.0,25180700310.10752,14331239.398507372
375,2020-07-01,170219000000.0,25788891585.621433,13744493.675393924
376,2020-07-02,167522000000.0,25296094249.332912,12807616.677865293
377,2020-07-03,167020000000.0,25120321315.106716,12698039.837036435
378,2020-07-04,168126000000.0,25543899870.398716,12889381.6115762
379,2020-07-05,167277000000.0,25413143560.3585,11428736.964413935
380,2020-07-06,172064000000.0,26924663763.201286,11720896.475726193
381,2020-07-07,170474000000.0,26686150449.03995,12414255.9729842
382,2020-07-08,173844000000.0,27563834142.56887,13123471.705848824
