asset,horizon,date,mult,prob,outcome
btc,7,2023-03-21,1.05,0.2686,0
btc,7,2023-03-21,1.1,0.1456,0
btc,7,2023-03-28,0.9,0.8828,1
btc,7,2023-03-28,0.95,0.7482,1
btc,7,2023-03-28,1.0,0.4996,1
btc,7,2023-03-28,1.05,0.2711,0
btc,7,2023-03-28,1.1,0.147,0
btc,7,2023-04-04,0.9,0.887,1
btc,7,2023-04-04,0.95,0.7488,1
btc,7,2023-04-04,1.0,0.5072,1
btc,7,2023-04-04,1.05,0.2642,1
btc,7,2023-04-04,1.1,0.1443,0
btc,7,2023-04-11,0.9,0.8821,1
btc,7,2023-04-11,0.95,0.7489,1
btc,7,2023-04-11,1.0,0.5008,1
btc,7,2023-04-11,1.05,0.2623,0
btc,7,2023-04-11,1.1,0.1432,0
btc,7,2023-04-18,0.9,0.8801,1
btc,7,2023-04-18,0.95,0.747,0
btc,7,2023-04-18,1.0,0.5035,0
btc,7,2023-04-18,1.05,0.2705,0
btc,7,2023-04-18,1.1,0.142,0
btc,7,2023-04-25,0.9,0.8774,1
btc,7,2023-04-25,0.95,0.7467,1
btc,7,2023-04-25,1.0,0.4953,1
btc,7,2023-04-25,1.05,0.2667,0
btc,7,2023-04-25,1.1,0.1408,0
btc,7,2023-05-02,0.9,0.8768,1
btc,7,2023-05-02,0.95,0.7386,1
btc,7,2023-05-02,1.0,0.4977,0
btc,7,2023-05-02,1.05,0.2713,0
btc,7,2023-05-02,1.1,0.1428,0
btc,7,2023-05-09,0.9,0.879,1
btc,7,2023-05-09,0.95,0.7488,1
btc,7,2023-05-09,1.0,0.4952,0
btc,7,2023-05-09,1.05,0.2564,0
btc,7,2023-05-09,1.1,0.1311,0
btc,7,2023-05-16,0.9,0.8897,1
btc,7,2023-05-16,0.95,0.751,1
btc,7,2023-05-16,1.0,0.5017,1
btc,7,2023-05-16,1.05,0.268,0
btc,7,2023-05-16,1.1,0.138,0
btc,7,2023-05-23,0.9,0.8866,1
btc,7,2023-05-23,0.95,0.7519,1
btc,7,2023-05-23,1.0,0.4905,1
btc,7,2023-05-23,1.05,0.2578,0
